user_enc,seq_item_ids,seq_item_cats,seq_merchant_ids,seq_service_types,seq_price_bin,seq_time_of_day,seq_weekday,seq_weather_enc,seq_weather_lvl,seq_promo_main_enc,seq_promo_delv_enc,seq_disc_pct,seq_cashback_pct,seq_subtotal,seq_total_spend,seq_is_weekend,seq_is_holiday,segment_enc,kecamatan_enc_merchant,avg_session_duration,total_orders,user_total_spend,user_avg_price,user_median_price,voucher_count,voucher_rate,avg_voucher_pct,total_cashback,recency_days,seq_length,unique_items,unique_merchants,voucher_usage_ratio,target_discount
0,"[nan, nan, nan, nan, nan, nan, nan, 693.0, 488.0, nan, 536.0, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, 6.0, 7.0, nan, 5.0, nan, nan, nan]","[320, 320, 320, 320, 320, 320, 320, 293, 15, 130, 13, 320, 320, 320]","[2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0, 2, 0]","['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'medium', 'high', 'unknown', 'medium', 'unknown', 'unknown', 'unknown']","['morning', 'morning', 'morning', 'morning', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'evening', 'evening', 'evening', 'evening', 'evening']","[1, 6, 4, 0, 6, 4, 0, 5, 6, 1, 6, 2, 3, 5]","[3, 2, 0, 1, 3, 3, 3, 3, 3, 3, 0, 3, 0, 0]","['hot', 'hot', 'hot', 'hot', 'hot', 'normal', 'hot', 'hot', 'normal', 'normal', 'hot', 'normal', 'hot', 'normal']","[51, 51, 18, 51, 27, 51, 51, 22, 51, 51, 51, 21, 20, 51]","[nan, nan, 56.0, nan, 9.0, nan, nan, nan, nan, nan, nan, 12.0, 14.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0]","[0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0]","[0, 0, 0, 0, 0, 0, 0, 55679, 121754, 136898, 54969, 0, 0, 0]","[5000.0, 5000.0, 5000.0, 5000.0, 5000.0, 5000.0, 5000.0, 59529.15, 133220.16, 142312.47, 63444.53, 5000.0, 5000.0, 5000.0]","[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,4.0,818.1818181818181,14,448506.31,26378.571428571428,0.0,0,0.0,0.028571428571428574,8351.85,0,14,14,5,0.0,0
1,"[nan, nan, nan, 137.0, 38.0, nan, nan, nan, 361.0, nan, nan]","[nan, nan, nan, 1.0, 5.0, nan, nan, nan, 2.0, nan, nan]","[80, 179, 320, 189, 74, 320, 320, 291, 277, 320, 307]","[1, 1, 2, 1, 1, 2, 0, 1, 1, 2, 1]","['unknown', 'unknown', 'unknown', 'medium', 'high', 'unknown', 'unknown', 'unknown', 'medium', 'unknown', 'unknown']","['morning', 'morning', 'morning', 'morning', 'evening', 'evening', 'evening', 'evening', 'evening', 'evening', 'evening']","[2, 0, 6, 1, 5, 2, 0, 2, 1, 6, 6]","[0, 1, 3, 3, 0, 3, 3, 1, 3, 0, 3]","['cool', 'normal', 'normal', 'hot', 'hot', 'normal', 'normal', 'hot', 'normal', 'hot', 'hot']","[44, 51, 38, 51, 25, 51, 51, 51, 46, 36, 35]","[9.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.1, 0.0, 0.15, 0.0, 0.15, 0.0, 0.0, 0.0, 0.1, 0.1, 0.15]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[95793, 90772, 0, 25047, 76351, 0, 0, 111952, 44661, 0, 90586]","[86213.7, 100093.09, 5000.0, 29088.15, 69344.74, 5000.0, 5000.0, 122806.67, 46101.55, 5000.0, 84805.01]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,19.0,1309.090909090909,11,558452.91,48651.09090909091,44661.0,4,0.36363636363636365,0.06818181818181818,0.0,0,11,11,8,0.36363636363636365,3
2,"[nan, nan, nan, nan, nan, nan, 662.0, 329.0, nan, nan, 371.0, nan, nan, nan, nan, 740.0, 695.0, nan]","[nan, nan, nan, nan, nan, nan, 7.0, 9.0, nan, nan, 2.0, nan, nan, nan, nan, 2.0, 9.0, nan]","[315, 320, 320, 320, 213, 112, 307, 279, 320, 320, 206, 320, 153, 79, 320, 219, 30, 320]","[1, 2, 0, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 0, 1, 1, 2]","['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'medium', 'high', 'unknown', 'unknown', 'medium', 'unknown', 'unknown', 'unknown', 'unknown', 'medium', 'high', 'unknown']","['night', 'night', 'morning', 'morning', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'evening', 'evening', 'evening', 'evening', 'evening', 'evening', 'evening', 'evening']","[6, 1, 0, 2, 4, 1, 3, 4, 3, 3, 6, 0, 2, 4, 0, 2, 4, 1]","[1, 3, 3, 1, 3, 1, 0, 3, 3, 1, 2, 0, 0, 0, 0, 3, 3, 3]","['hot', 'normal', 'hot', 'normal', 'hot', 'normal', 'normal', 'normal', 'hot', 'normal', 'normal', 'normal', 'cool', 'normal', 'hot', 'normal', 'normal', 'normal']","[47, 51, 51, 26, 31, 51, 51, 51, 17, 25, 51, 46, 51, 4, 50, 51, 51, 51]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 9.0, nan, nan, nan, 9.0, 56.0, nan, nan]","[0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 0.1, 0.0, 0.15, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0]","[0.15, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0]","[61487, 0, 0, 0, 250451, 103424, 35927, 105530, 0, 0, 28624, 0, 197617, 111720, 0, 57546, 80832, 0]","[69238.37, 5000.0, 5000.0, 5000.0, 259950.72, 111067.46, 44966.8, 111019.26, 5000.0, 5000.0, 28624.0, 5000.0, 204630.61, 94674.13, 5000.0, 57546.0, 83820.21, 5000.0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1.0,981.8181818181819,18,1105537.56,57397.666666666664,32275.5,1,0.05555555555555555,0.04722222222222223,21745.6,3,18,18,11,0.05555555555555555,0
3,"[nan, nan, nan, 800.0, nan, nan, 847.0, 830.0, nan, 382.0, nan, 77.0, nan, 687.0]","[nan, nan, nan, 1.0, nan, nan, 4.0, 3.0, nan, 0.0, nan, 3.0, nan, 5.0]","[320, 320, 320, 40, 15, 68, 178, 76, 135, 223, 320, 71, 227, 291]","[2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]","['unknown', 'unknown', 'unknown', 'high', 'unknown', 'unknown', 'medium', 'medium', 'unknown', 'low', 'unknown', 'medium', 'unknown', 'medium']","['night', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'evening', 'evening', 'evening', 'evening', 'evening', 'evening', 'evening', 'evening', 'evening']","[1, 0, 1, 3, 1, 2, 4, 2, 3, 1, 6, 4, 6, 6]","[3, 0, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3]","['cool', 'normal', 'cool', 'normal', 'normal', 'normal', 'cool', 'normal', 'normal', 'normal', 'normal', 'hot', 'normal', 'hot']","[11, 51, 17, 51, 0, 46, 30, 51, 51, 51, 51, 51, 51, 51]","[17.0, nan, nan, nan, nan, nan, 14.0, nan, nan, 2.0, nan, nan, nan, nan]","[0.1, 0.0, 0.1, 0.0, 0.0, 0.15, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 127320, 179001, 113834, 26412, 56601, 89424, 23767, 0, 54972, 138938, 42075]","[5000.0, 5000.0, 5000.0, 135045.32, 187741.32, 100805.44, 21129.6, 60530.62, 97469.6, 23767.0, 5000.0, 63668.66, 150123.2, 53034.83]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,19.0,1472.7272727272727,14,913315.5900000001,60881.71428571428,48523.5,2,0.14285714285714285,0.03928571428571429,8950.05,1,14,14,11,0.14285714285714285,0
4,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[173, 320, 278, 320, 320, 272, 76, 69, 164, 320, 310, 224, 320]","[1, 0, 1, 2, 2, 1, 1, 1, 1, 0, 1, 1, 2]","['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']","['night', 'night', 'morning', 'morning', 'morning', 'morning', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'evening', 'evening', 'evening']","[6, 6, 2, 5, 0, 1, 1, 1, 1, 3, 6, 5, 1]","[1, 3, 3, 0, 3, 3, 2, 0, 1, 3, 1, 3, 0]","['hot', 'cool', 'hot', 'hot', 'hot', 'hot', 'normal', 'hot', 'normal', 'cool', 'hot', 'normal', 'hot']","[11, 29, 27, 51, 51, 35, 51, 10, 24, 32, 51, 25, 7]","[nan, 2.0, nan, nan, 56.0, nan, nan, nan, nan, 33.0, nan, nan, 12.0]","[0.2, 0.0, 0.1, 0.0, 0.0, 0.15, 0.0, 0.0, 0.15, 0.2, 0.0, 0.15, 0.2]","[0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0]","[108182, 0, 258941, 0, 0, 32640, 43687, 124699, 42396, 0, 198282, 173674, 0]","[93918.71, 5000.0, 239536.09, 5000.0, 5000.0, 31038.76, 48708.6, 130900.31, 41167.53, 5000.0, 201833.2, 157306.08, 5000.0]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,2.0,981.8181818181819,13,969409.28,75577.0,42396.0,5,0.38461538461538464,0.08846153846153845,12469.9,1,13,13,9,0.38461538461538464,3
5,"[nan, 610.0, nan, nan, nan, nan, nan, nan, 553.0, 479.0, nan, nan, nan, nan, nan, nan, nan]","[nan, 2.0, nan, nan, nan, nan, nan, nan, 2.0, 5.0, nan, nan, nan, nan, nan, nan, nan]","[109, 33, 320, 320, 320, 88, 320, 94, 54, 120, 95, 224, 320, 144, 320, 320, 87]","[1, 1, 0, 0, 2, 1, 2, 1, 1, 1, 1, 1, 0, 1, 2, 2, 1]","['unknown', 'low', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'medium', 'medium', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']","['night', 'morning', 'morning', 'morning', 'morning', 'morning', 'morning', 'morning', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'evening', 'evening', 'evening']","[4, 3, 1, 4, 1, 3, 5, 6, 4, 3, 3, 3, 0, 2, 4, 0, 4]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 0, 0, 3, 1, 3, 0, 3, 3]","['normal', 'cool', 'hot', 'normal', 'normal', 'normal', 'normal', 'normal', 'hot', 'normal', 'hot', 'hot', 'hot', 'normal', 'normal', 'normal', 'hot']","[51, 51, 51, 26, 51, 51, 51, 51, 51, 22, 9, 51, 2, 38, 51, 12, 24]","[nan, nan, 47.0, nan, nan, 33.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.0, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.15, 0.2, 0.0, 0.0, 0.15]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0]","[91671, 24354, 0, 0, 0, 80365, 0, 195927, 27247, 58569, 191768, 187883, 0, 84371, 0, 0, 138775]","[98244.83, 27154.13, 5000.0, 5000.0, 5000.0, 80365.0, 5000.0, 206773.03, 33198.8, 66443.38, 170387.2, 192026.49, 5000.0, 74924.27, 5000.0, 5000.0, 128782.88]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,14.0,1320.0,17,1113300.01,63584.117647058825,27247.0,3,0.17647058823529413,0.047058823529411764,2928.45,1,17,17,11,0.17647058823529413,3
6,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 132.0, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 2.0, nan, nan]","[245, 320, 320, 263, 43, 28, 45, 320, 320, 83, 297, 235, 320]","[1, 0, 0, 1, 1, 1, 1, 2, 0, 1, 1, 1, 2]","['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'low', 'unknown', 'unknown']","['morning', 'morning', 'morning', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'evening', 'evening', 'evening', 'evening', 'evening']","[5, 6, 4, 3, 0, 6, 6, 0, 0, 0, 1, 0, 3]","[3, 1, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1]","['hot', 'hot', 'normal', 'normal', 'normal', 'hot', 'cool', 'hot', 'cool', 'normal', 'hot', 'normal', 'normal']","[17, 35, 51, 51, 51, 51, 45, 51, 45, 51, 22, 51, 51]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.15, 0.2, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0]","[119283, 0, 0, 142710, 158270, 115658, 89210, 0, 0, 77591, 21709, 129557, 0]","[109463.28, 5000.0, 5000.0, 149255.63, 169538.77, 120877.11, 78593.59, 5000.0, 5000.0, 86076.53, 31469.53, 136030.46, 5000.0]","[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3.0,1145.4545454545455,13,906304.9,65691.38461538461,77591.0,2,0.15384615384615385,0.04615384615384615,1085.45,0,13,13,9,0.15384615384615385,0
7,"[nan, nan, 559.0, nan, 426.0, nan, nan, nan, nan, 276.0]","[nan, nan, 9.0, nan, 3.0, nan, nan, nan, nan, 0.0]","[320, 320, 180, 320, 62, 320, 320, 320, 138, 271]","[2, 2, 1, 2, 1, 0, 2, 2, 1, 1]","['unknown', 'unknown', 'medium', 'unknown', 'medium', 'unknown', 'unknown', 'unknown', 'unknown', 'medium']","['morning', 'morning', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'evening', 'evening', 'evening', 'evening']","[3, 0, 1, 3, 1, 0, 4, 2, 2, 0]","[0, 1, 0, 0, 3, 3, 3, 3, 1, 0]","['hot', 'cool', 'cool', 'normal', 'normal', 'hot', 'normal', 'normal', 'hot', 'normal']","[51, 51, 51, 47, 51, 51, 45, 51, 49, 51]","[nan, nan, nan, 14.0, nan, nan, nan, nan, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.1, 0.0]","[0.0, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 39655, 0, 51530, 0, 0, 0, 71450, 42246]","[5000.0, 5000.0, 43292.8, 5000.0, 63022.3, 5000.0, 5000.0, 5000.0, 67004.62, 47363.66]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,3.0,981.8181818181819,10,250683.38,20488.1,0.0,1,0.1,0.025,0.0,5,10,10,5,0.1,0
8,"[nan, 621.0, nan, nan, nan, nan, 850.0, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 8.0, nan, nan, nan, nan, 2.0, nan, nan, nan, nan, nan, nan, nan, nan]","[320, 90, 320, 320, 237, 320, 15, 50, 306, 320, 231, 320, 320, 320, 320]","[2, 1, 2, 2, 1, 2, 1, 1, 1, 0, 1, 0, 0, 2, 2]","['unknown', 'medium', 'unknown', 'unknown', 'unknown', 'unknown', 'medium', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']","['night', 'morning', 'morning', 'morning', 'morning', 'afternoon', 'afternoon', 'afternoon', 'afternoon', 'evening', 'evening', 'evening', 'evening', 'evening', 'evening']","[5, 0, 0, 2, 6, 4, 1, 5, 6, 6, 4, 3, 6, 0, 6]","[0, 0, 1, 0, 0, 3, 0, 2, 0, 0, 3, 1, 3, 0, 1]","['normal', 'hot', 'cool', 'normal', 'normal', 'cool', 'cool', 'hot', 'normal', 'normal', 'normal', 'hot', 'hot', 'hot', 'normal']","[51, 32, 51, 51, 51, 51, 46, 51, 19, 51, 51, 30, 18, 51, 51]","[nan, 33.0, nan, nan, nan, nan, nan, nan, nan, nan, 56.0, nan, nan, nan, nan]","[0.0, 0.15, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.1, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0]","[0, 32762, 0, 0, 93193, 0, 47607, 142011, 110985, 0, 54567, 0, 0, 0, 0]","[5000.0, 27847.7, 5000.0, 5000.0, 103520.69, 5000.0, 48510.01, 153581.9, 104647.19, 5000.0, 54567.0, 5000.0, 5000.0, 5000.0, 5000.0]","[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,7.0,1145.4545454545455,15,537674.49,32075.0,0.0,3,0.2,0.03333333333333333,0.0,1,15,15,7,0.2,0
9,"[nan, nan, nan, nan, nan, 850.0, 415.0, 57.0, nan, nan, 549.0, nan, nan, nan]","[nan, nan, nan, nan, nan, 2.0, 9.0, 2.0, nan, nan, 3.0, nan, nan, nan]","[89, 320, 320, 320, 320, 141, 223, 69, 304, 251, 22, 16, 320, 202]","[1, 2, 2, 0, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1]","['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'medium', 'medium', 'medium', 'unknown', 'unknown', 'low', 'unknown', 'unknown', 'unknown']","['night', 'night', 'morning', 'morning', 'morning', 'afternoon', 'afternoon', 'afternoon', 'evening', 'evening', 'evening', 'evening', 'evening', 'evening']","[5, 0, 3, 1, 6, 2, 0, 6, 1, 4, 2, 0, 0, 4]","[0, 0, 3, 3, 0, 3, 1, 1, 3, 0, 0, 0, 3, 3]","['normal', 'hot', 'cool', 'normal', 'hot', 'hot', 'hot', 'normal', 'hot', 'normal', 'normal', 'normal', 'normal', 'normal']","[51, 51, 51, 42, 51, 51, 51, 51, 7, 51, 51, 51, 51, 51]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[271397, 0, 0, 0, 0, 47607, 35379, 34196, 59761, 99727, 22127, 128308, 0, 84416]","[282348.21, 5000.0, 5000.0, 5000.0, 5000.0, 51654.55, 42829.16, 42606.8, 56496.18, 102859.8, 30932.93, 135618.9, 5000.0, 92552.24]","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,14.0,1309.090909090909,14,862898.77,55922.71428571428,34787.5,1,0.07142857142857142,0.014285714285714287,0.0,0,14,14,10,0.07142857142857142,0
