order_id,user_id,order_timestamp,service_type,merchant_id,item_ids,price_subtotal,delivery_fee_before,delivery_fee_after,voucher_discount_pct,voucher_discount_amt,voucher_cashback_pct,voucher_cashback_amt,free_delivery_flag,promo_id_main,promo_id_delivery,total_spend
T00001,U00466,2025-06-14 06:25:36,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00002,U00002,2025-06-18 21:47:23,GoFood,M00292,I00315|I00589|I00434,111952,10854.67,10854.67,0,0.0,0,0.0,0,,,122806.67
T00003,U00267,2025-06-26 21:15:24,GoFood,M00299,I00151,22002,9202.03,0.0,0,0.0,10,2200.2,1,P019,P013,22002.0
T00004,U00736,2025-06-18 14:08:30,GoRide,,,0,0.0,0.0,0,0.0,15,0.0,1,P014,P013,5000.0
T00005,U00001,2025-06-08 23:52:06,GoFood,M00014,I00537,54969,8475.53,8475.53,0,0.0,0,0.0,0,,,63444.53
T00006,U00665,2025-06-24 16:14:59,GoRide,,,0,0.0,0.0,20,0.0,0,0.0,1,P043,P013,5000.0
T00007,U00374,2025-06-24 14:25:23,GoFood,M00091,I00155|I00120,89325,7417.43,7417.43,20,17865.0,0,0.0,0,P042,,78877.43
T00008,U00267,2025-06-01 13:07:48,GoFood,M00070,I00057|I00491,239866,3097.03,3097.03,0,0.0,0,0.0,0,,,242963.03
T00009,U00649,2025-06-04 06:49:35,GoCar,,,0,0.0,0.0,15,0.0,0,0.0,0,P016,,5000.0
T00010,U00747,2025-06-09 20:53:57,GoFood,M00108,I00745|I00495,51720,7365.73,0.0,0,0.0,0,0.0,1,,P034,51720.0
T00011,U00772,2025-06-25 09:57:52,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00012,U00533,2025-06-10 17:10:58,GoFood,M00028,I00409,32917,5150.4,5150.4,10,3291.7,0,0.0,0,P006,,34775.7
T00013,U00127,2025-06-28 18:40:30,GoFood,M00214,I00463|I00107,185183,7206.78,7206.78,15,27777.45,0,0.0,0,P004,,164612.33
T00014,U00719,2025-06-24 09:21:31,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00015,U00710,2025-06-06 17:18:19,GoFood,M00012,I00259,31240,7746.99,7746.99,0,0.0,0,0.0,0,,,38986.99
T00016,U00681,2025-06-01 11:32:53,GoFood,M00214,I00713,36476,5818.56,0.0,15,5471.4,0,0.0,1,P055,P003,31004.6
T00017,U00625,2025-06-27 05:02:29,GoRide,,,0,0.0,0.0,20,0.0,0,0.0,0,P036,,5000.0
T00018,U00435,2025-06-27 18:56:07,GoFood,M00027,I00245|I00385|I00061,173079,3578.9,3578.9,0,0.0,0,0.0,0,,,176657.9
T00019,U00369,2025-06-08 16:54:29,GoFood,M00132,I00809,28420,8205.99,8205.99,0,0.0,0,0.0,0,,,36625.99
T00020,U00381,2025-06-07 13:58:01,GoFood,M00075,I00782|I00161|I00153,95196,4048.11,0.0,15,14279.4,0,0.0,1,P008,P034,80916.6
T00021,U00699,2025-06-17 09:39:24,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00022,U00147,2025-06-11 13:16:24,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00023,U00236,2025-06-07 12:19:19,GoFood,M00072,I00839|I00646|I00388,128107,8755.72,8755.72,15,19216.05,0,0.0,0,P008,,117646.67
T00024,U00172,2025-06-11 17:55:33,GoCar,,,0,0.0,0.0,0,0.0,0,0.0,1,,P013,5000.0
T00025,U00416,2025-06-19 23:13:36,GoFood,M00301,I00397|I00805|I00286,120375,10499.61,10499.61,0,0.0,0,0.0,0,,,130874.61
T00026,U00278,2025-06-22 11:56:25,GoFood,M00056,I00374,15754,9269.06,9269.06,0,0.0,0,0.0,0,,,25023.06
T00027,U00476,2025-06-04 10:57:57,GoRide,,,0,0.0,0.0,15,0.0,0,0.0,1,P025,P048,5000.0
T00028,U00018,2025-06-05 17:52:12,GoFood,M00276,I00595|I00565,110139,4970.04,4970.04,0,0.0,0,0.0,0,,,115109.04
T00029,U00621,2025-06-08 19:52:29,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,0,,,5000.0
T00030,U00738,2025-06-29 11:33:47,GoRide,,,0,0.0,0.0,0,0.0,5,0.0,0,P011,,5000.0
T00031,U00331,2025-06-28 20:05:55,GoFood,M00080,I00355|I00301|I00479,148618,9247.57,9247.57,0,0.0,0,0.0,0,,,157865.57
T00032,U00275,2025-06-30 09:42:15,GoRide,,,0,0.0,0.0,0,0.0,0,0.0,1,,P003,5000.0
